Email Text,Label
Urgent: Your account at Chase Bank has been suspended. Click here to verify: http://verify-bankofamerica.co/signin?id=58263,phishing
Final Warning: Your storage is full on Google. Upgrade immediately or lose files: http://amazon-giftcard-promotions.net?id=86282,phishing
Verify your Microsoft 365 login immediately. Unrecognized activity detected from IP 245.180.130.207. Reset password: http://update-credential-zoom.org?id=34290,phishing
"Hi David, I've shared the document 'Database Migration' with you. Please review and leave comments.",legitimate
Your account statement for Wells Fargo is ready. Login to your secure portal to download.,legitimate
Urgent: Your account at Capital One has been suspended. Click here to verify: http://login.secure-bank-login.xyz?id=61322,phishing
Final Warning: Your storage is full on Zoom. Upgrade immediately or lose files: http://irs-tax-refund-claim.gov.us/portal?id=67977,phishing
Here are the tickets for your flight UA602 to San Francisco. Have a great trip!,legitimate
Your package from UPS could not be delivered due to incorrect address. Update details: http://dropbox-storage-upgrade-deal.co?id=81250,phishing
Crypto Alert: Your wallet has been accessed. Transfer your funds to a safe address: http://dhl-package-tracking-update.com/status?id=64391,phishing
Crypto Alert: Your wallet has been accessed. Transfer your funds to a safe address: http://drive-google-sharing-view.com?id=82848,phishing
Your package from UPS could not be delivered due to incorrect address. Update details: http://irs-tax-refund-claim.gov.us/portal?id=79757,phishing
"Security Alert: Someone has requested a password change for your Google ID. If not you, secure your account at http://update-credential-zoom.org?id=36127",phishing
Action Required: Update your billing information for Facebook to avoid service interruption: http://netflix-billing-update-alert.net/login?id=79268,phishing
Invoice INV-502880 for 132 is overdue. View statement and pay now: http://wallet-connect-ledger.com/restore?id=34667,phishing
Thank you for your order at Walmart. Your order number is #1707 and will ship soon.,legitimate
Reminder: Your appointment with Dr. William is scheduled for 8:30 AM.,legitimate
Your account statement for Chase Bank is ready. Login to your secure portal to download.,legitimate
Congratulations! You won a iPad Air from eBay. Click here to claim your reward: http://secure-chase-login-auth.com/verify?id=61036,phishing
"Hi, just reminding you about our meeting tomorrow at 8:45 AM. Let me know if you can make it.",legitimate
Congratulations! You won a $500 Cash Reward from Costco. Click here to claim your reward: http://netflix-billing-update-alert.net/login?id=64496,phishing
Your package from UPS could not be delivered due to incorrect address. Update details: http://verify-bankofamerica.co/signin?id=41534,phishing
Your package from DHL could not be delivered due to incorrect address. Update details: http://signin-facebook-account-alert.net?id=59389,phishing
Welcome to the LinkedIn team! Here is the onboarding document to get you started.,legitimate
Invoice INV-308882 for 4857 is overdue. View statement and pay now: http://drive-google-sharing-view.com?id=33291,phishing
Attention: Win 1734 worth of Bitcoin by clicking on our promotional link: http://apple-id-recovery-support.info?id=11918,phishing
Your monthly energy statement for Amazon is now available. Log in to view: https://www.bankofamerica.com,legitimate
Your weekly digest from Facebook is ready. Here are your top recommendations for this week.,legitimate
Your monthly energy statement for Costco is now available. Log in to view: https://www.paypal.com/signin,legitimate
Your weekly digest from Netflix is ready. Here are your top recommendations for this week.,legitimate
Critical security patch required for your computer. Click to download the update: http://drive-google-sharing-view.com?id=88516,phishing
Your package from FedEx could not be delivered due to incorrect address. Update details: http://amazon-giftcard-promotions.net?id=36489,phishing
Here are the tickets for your flight UA279 to Paris. Have a great trip!,legitimate
Thanks for subscribing to our newsletter! Here is your free ebook link: https://www.paypal.com/signin,legitimate
Here is the project update for the Sales Review sprint. Let me know your thoughts by EOD.,legitimate
"Security Alert: Someone has requested a password change for your Facebook ID. If not you, secure your account at http://update-credential-zoom.org?id=46956",phishing
Congratulations! You won a $1000 Gift Card from Best Buy. Click here to claim your reward: https://microsoft365-password-reset.xyz/update?id=70789,phishing
Final Warning: Your storage is full on Zoom. Upgrade immediately or lose files: http://verify-bankofamerica.co/signin?id=11129,phishing
Your reservation at Zoom has been confirmed for 11:00 AM. View details here: https://drive.google.com,legitimate
"Hi, just reminding you about our meeting tomorrow at 11:15 PM. Let me know if you can make it.",legitimate
Your monthly energy statement for eBay is now available. Log in to view: https://www.bankofamerica.com,legitimate
"Hi, just reminding you about our meeting tomorrow at 7:00 AM. Let me know if you can make it.",legitimate
Invoice INV-285312 for 1276 is overdue. View statement and pay now: https://microsoft365-password-reset.xyz/update?id=84940,phishing
Your reservation at LinkedIn has been confirmed for 2:30 PM. View details here: https://www.irs.gov,legitimate
"Hi David, hope you're doing well. Just wanted to catch up on the details we discussed yesterday.",legitimate
Crypto Alert: Your wallet has been accessed. Transfer your funds to a safe address: http://amazon-giftcard-promotions.net?id=87029,phishing
Invoice INV-382497 for 58 is overdue. View statement and pay now: http://wallet-connect-ledger.com/restore?id=19300,phishing
Crypto Alert: Your wallet has been accessed. Transfer your funds to a safe address: http://signin-facebook-account-alert.net?id=56387,phishing
Your package from UPS could not be delivered due to incorrect address. Update details: http://drive-google-sharing-view.com?id=79147,phishing
Your package from Amazon Logistics could not be delivered due to incorrect address. Update details: https://paypal-security-verification-portal.org?id=22749,phishing
Thank you for your order at Costco. Your order number is #1147 and will ship soon.,legitimate
Your weekly digest from Netflix is ready. Here are your top recommendations for this week.,legitimate
Critical security patch required for your computer. Click to download the update: http://verify-bankofamerica.co/signin?id=77579,phishing
"Hi, can you send over the slides for the Product Launch presentation before our call?",legitimate
Reminder: Your appointment with Dr. Robert is scheduled for 8:30 AM.,legitimate
Your payroll details need verification. Please update your bank details on the portal: http://wallet-connect-ledger.com/restore?id=65072,phishing
"Hi, just reminding you about our meeting tomorrow at 4:00 AM. Let me know if you can make it.",legitimate
Final Warning: Your storage is full on Amazon. Upgrade immediately or lose files: http://drive-google-sharing-view.com?id=41169,phishing
Here is the project update for the Product Launch sprint. Let me know your thoughts by EOD.,legitimate
Invoice INV-981506 for 4117 is overdue. View statement and pay now: http://apple-id-recovery-support.info?id=77412,phishing
Exclusive Offer: Refinance your mortgage at 1.5% interest rate. Pre-qualify today: http://apple-id-recovery-support.info?id=16666,phishing
Your weekly digest from Netflix is ready. Here are your top recommendations for this week.,legitimate
Attention: Win 1136 worth of Bitcoin by clicking on our promotional link: http://login.secure-bank-login.xyz?id=26978,phishing
Congratulations! You won a $1000 Gift Card from eBay. Click here to claim your reward: http://dropbox-storage-upgrade-deal.co?id=41941,phishing
Here is the project update for the Marketing Campaign sprint. Let me know your thoughts by EOD.,legitimate
Congratulations! You won a iPhone 15 Pro from Target. Click here to claim your reward: http://secure-chase-login-auth.com/verify?id=83409,phishing
Your reservation at Zoom has been confirmed for 12:00 PM. View details here: https://www.netflix.com/youraccount,legitimate
Your reservation at Zoom has been confirmed for 7:00 PM. View details here: https://www.amazon.com/gp/css/homepage.html,legitimate
Urgent: Your account at Wells Fargo has been suspended. Click here to verify: http://apple-id-recovery-support.info?id=22227,phishing
